method,sweep,config,drift_type,seed,n_detections,n_false_alarms,false_alarms_per_year,budget_met,detection_delay,missed_detections,none_clean,accepted
adwin,adwin_budget_delta,{'delta': 0.0005},none,4,0,0,0.0,True,,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0005},none,5,0,0,0.0,True,,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0005},sudden,1,1,0,0.0,True,23.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0005},sudden,2,1,0,0.0,True,23.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0005},sudden,3,1,0,0.0,True,23.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0005},sudden,4,1,0,0.0,True,23.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0005},sudden,5,1,0,0.0,True,23.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0005},gradual,1,3,2,1.752,True,215.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0005},gradual,2,3,2,1.752,True,215.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0005},gradual,3,3,2,1.752,True,215.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0005},gradual,4,3,2,1.752,True,215.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0005},gradual,5,3,2,1.752,True,247.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0005},recurring,1,2,0,0.0,True,15.5,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0005},recurring,2,2,0,0.0,True,15.5,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0005},recurring,3,2,0,0.0,True,15.5,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0005},recurring,4,2,0,0.0,True,15.5,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0005},recurring,5,2,0,0.0,True,15.5,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00075},none,1,0,0,0.0,True,,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00075},none,2,0,0,0.0,True,,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00075},none,3,0,0,0.0,True,,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00075},none,4,0,0,0.0,True,,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00075},none,5,0,0,0.0,True,,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00075},sudden,1,1,0,0.0,True,23.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00075},sudden,2,1,0,0.0,True,23.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00075},sudden,3,1,0,0.0,True,23.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00075},sudden,4,1,0,0.0,True,23.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00075},sudden,5,1,0,0.0,True,23.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00075},gradual,1,3,2,1.752,True,215.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00075},gradual,2,3,2,1.752,True,215.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00075},gradual,3,3,2,1.752,True,215.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00075},gradual,4,3,2,1.752,True,215.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00075},gradual,5,3,2,1.752,True,215.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00075},recurring,1,2,0,0.0,True,15.5,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00075},recurring,2,2,0,0.0,True,15.5,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00075},recurring,3,2,0,0.0,True,15.5,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00075},recurring,4,2,0,0.0,True,15.5,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00075},recurring,5,4,2,1.752,True,15.5,0,True,True
adwin,adwin_budget_delta,{'delta': 0.001},none,1,0,0,0.0,True,,0,True,True
adwin,adwin_budget_delta,{'delta': 0.001},none,2,0,0,0.0,True,,0,True,True
adwin,adwin_budget_delta,{'delta': 0.001},none,3,0,0,0.0,True,,0,True,True
adwin,adwin_budget_delta,{'delta': 0.001},none,4,0,0,0.0,True,,0,True,True
adwin,adwin_budget_delta,{'delta': 0.001},none,5,0,0,0.0,True,,0,True,True
adwin,adwin_budget_delta,{'delta': 0.001},sudden,1,1,0,0.0,True,23.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.001},sudden,2,1,0,0.0,True,23.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.001},sudden,3,1,0,0.0,True,23.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.001},sudden,4,1,0,0.0,True,23.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.001},sudden,5,1,0,0.0,True,23.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.001},gradual,1,3,2,1.752,True,215.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.001},gradual,2,3,2,1.752,True,215.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.001},gradual,3,3,2,1.752,True,215.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.001},gradual,4,3,2,1.752,True,215.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.001},gradual,5,4,3,2.6279999999999997,False,215.0,0,True,False
adwin,adwin_budget_delta,{'delta': 0.001},recurring,1,2,0,0.0,True,15.5,0,True,True
adwin,adwin_budget_delta,{'delta': 0.001},recurring,2,2,0,0.0,True,15.5,0,True,True
adwin,adwin_budget_delta,{'delta': 0.001},recurring,3,4,2,1.752,True,15.5,0,True,True
adwin,adwin_budget_delta,{'delta': 0.001},recurring,4,2,0,0.0,True,15.5,0,True,True
adwin,adwin_budget_delta,{'delta': 0.001},recurring,5,4,2,1.752,True,15.5,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0015},none,1,1,1,0.876,True,,0,False,False
adwin,adwin_budget_delta,{'delta': 0.0015},none,2,1,1,0.876,True,,0,False,False
adwin,adwin_budget_delta,{'delta': 0.0015},none,3,0,0,0.0,True,,0,False,False
adwin,adwin_budget_delta,{'delta': 0.0015},none,4,2,2,1.752,True,,0,False,False
adwin,adwin_budget_delta,{'delta': 0.0015},none,5,2,2,1.752,True,,0,False,False
adwin,adwin_budget_delta,{'delta': 0.0015},sudden,1,2,1,0.876,True,23.0,0,False,False
adwin,adwin_budget_delta,{'delta': 0.0015},sudden,2,2,1,0.876,True,23.0,0,False,False
adwin,adwin_budget_delta,{'delta': 0.0015},sudden,3,1,0,0.0,True,23.0,0,False,False
adwin,adwin_budget_delta,{'delta': 0.0015},sudden,4,3,2,1.752,True,23.0,0,False,False
adwin,adwin_budget_delta,{'delta': 0.0015},sudden,5,3,2,1.752,True,23.0,0,False,False
adwin,adwin_budget_delta,{'delta': 0.0015},gradual,1,4,3,2.6279999999999997,False,215.0,0,False,False
adwin,adwin_budget_delta,{'delta': 0.0015},gradual,2,5,4,3.504,False,215.0,0,False,False
adwin,adwin_budget_delta,{'delta': 0.0015},gradual,3,3,2,1.752,True,215.0,0,False,False
adwin,adwin_budget_delta,{'delta': 0.0015},gradual,4,5,4,3.504,False,215.0,0,False,False
adwin,adwin_budget_delta,{'delta': 0.0015},gradual,5,6,5,4.38,False,215.0,0,False,False
adwin,adwin_budget_delta,{'delta': 0.0015},recurring,1,3,1,0.876,True,15.5,0,False,False
adwin,adwin_budget_delta,{'delta': 0.0015},recurring,2,4,2,1.752,True,15.5,0,False,False
adwin,adwin_budget_delta,{'delta': 0.0015},recurring,3,4,2,1.752,True,15.5,0,False,False
adwin,adwin_budget_delta,{'delta': 0.0015},recurring,4,4,2,1.752,True,15.5,0,False,False
adwin,adwin_budget_delta,{'delta': 0.0015},recurring,5,6,4,3.504,False,15.5,0,False,False
adwin,adwin_budget_delta,{'delta': 0.002},none,1,1,1,0.876,True,,0,False,False
adwin,adwin_budget_delta,{'delta': 0.002},none,2,4,4,3.504,False,,0,False,False
adwin,adwin_budget_delta,{'delta': 0.002},none,3,8,8,7.008,False,,0,False,False
adwin,adwin_budget_delta,{'delta': 0.002},none,4,4,4,3.504,False,,0,False,False
adwin,adwin_budget_delta,{'delta': 0.002},none,5,8,8,7.008,False,,0,False,False
adwin,adwin_budget_delta,{'delta': 0.002},sudden,1,2,1,0.876,True,23.0,0,False,False
adwin,adwin_budget_delta,{'delta': 0.002},sudden,2,5,4,3.504,False,23.0,0,False,False
adwin,adwin_budget_delta,{'delta': 0.002},sudden,3,9,8,7.008,False,23.0,0,False,False
adwin,adwin_budget_delta,{'delta': 0.002},sudden,4,5,4,3.504,False,23.0,0,False,False
adwin,adwin_budget_delta,{'delta': 0.002},sudden,5,7,6,5.255999999999999,False,23.0,0,False,False
adwin,adwin_budget_delta,{'delta': 0.002},gradual,1,4,3,2.6279999999999997,False,215.0,0,False,False
adwin,adwin_budget_delta,{'delta': 0.002},gradual,2,8,7,6.132,False,215.0,0,False,False
adwin,adwin_budget_delta,{'delta': 0.002},gradual,3,12,11,9.636,False,215.0,0,False,False
adwin,adwin_budget_delta,{'delta': 0.002},gradual,4,7,6,5.255999999999999,False,215.0,0,False,False
adwin,adwin_budget_delta,{'delta': 0.002},gradual,5,10,9,7.8839999999999995,False,215.0,0,False,False
adwin,adwin_budget_delta,{'delta': 0.002},recurring,1,3,1,0.876,True,15.5,0,False,False
adwin,adwin_budget_delta,{'delta': 0.002},recurring,2,8,6,5.255999999999999,False,15.5,0,False,False
adwin,adwin_budget_delta,{'delta': 0.002},recurring,3,19,17,14.892,False,15.5,0,False,False
adwin,adwin_budget_delta,{'delta': 0.002},recurring,4,6,4,3.504,False,15.5,0,False,False
adwin,adwin_budget_delta,{'delta': 0.002},recurring,5,12,10,8.76,False,15.5,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",none,1,1,1,0.876,True,,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",none,2,3,3,2.6279999999999997,False,,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",none,3,4,4,3.504,False,,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",none,4,3,3,2.6279999999999997,False,,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",none,5,3,3,2.6279999999999997,False,,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",sudden,1,6,5,4.38,False,18.0,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",sudden,2,3,2,1.752,True,21.0,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",sudden,3,2,1,0.876,True,18.0,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",sudden,4,2,1,0.876,True,20.0,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",sudden,5,5,4,3.504,False,18.0,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",gradual,1,6,5,4.38,False,218.0,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",gradual,2,6,5,4.38,False,219.0,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",gradual,3,3,2,1.752,True,505.0,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",gradual,4,3,2,1.752,True,358.0,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",gradual,5,4,3,2.6279999999999997,False,263.0,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",recurring,1,5,3,2.6279999999999997,False,19.0,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",recurring,2,7,5,4.38,False,16.0,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",recurring,3,6,4,3.504,False,18.5,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",recurring,4,3,1,0.876,True,19.5,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",recurring,5,4,2,1.752,True,19.0,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",none,1,1,1,0.876,True,,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",none,2,1,1,0.876,True,,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",none,3,0,0,0.0,True,,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",none,4,0,0,0.0,True,,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",none,5,0,0,0.0,True,,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",sudden,1,1,0,0.0,True,19.0,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",sudden,2,1,0,0.0,True,17.0,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",sudden,3,2,1,0.876,True,18.0,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",sudden,4,2,1,0.876,True,20.0,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",sudden,5,1,0,0.0,True,18.0,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",gradual,1,3,2,1.752,True,264.0,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",gradual,2,1,0,0.0,True,552.0,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",gradual,3,1,0,0.0,True,264.0,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",gradual,4,1,0,0.0,True,264.0,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",gradual,5,1,0,0.0,True,794.0,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",recurring,1,2,0,0.0,True,20.0,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",recurring,2,2,0,0.0,True,17.0,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",recurring,3,2,0,0.0,True,22.0,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",recurring,4,2,0,0.0,True,21.0,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",recurring,5,2,0,0.0,True,18.5,0,False,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 48, 'seed': 42}",none,1,0,0,0.0,True,,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 48, 'seed': 42}",none,2,0,0,0.0,True,,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 48, 'seed': 42}",none,3,0,0,0.0,True,,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 48, 'seed': 42}",none,4,0,0,0.0,True,,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 48, 'seed': 42}",none,5,0,0,0.0,True,,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 48, 'seed': 42}",sudden,1,1,0,0.0,True,20.0,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 48, 'seed': 42}",sudden,2,1,0,0.0,True,23.0,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 48, 'seed': 42}",sudden,3,1,0,0.0,True,20.0,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 48, 'seed': 42}",sudden,4,1,0,0.0,True,25.0,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 48, 'seed': 42}",sudden,5,1,0,0.0,True,20.0,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 48, 'seed': 42}",gradual,1,0,0,0.0,True,,1,True,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 48, 'seed': 42}",gradual,2,1,0,0.0,True,418.0,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 48, 'seed': 42}",gradual,3,0,0,0.0,True,,1,True,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 48, 'seed': 42}",gradual,4,0,0,0.0,True,,1,True,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 48, 'seed': 42}",gradual,5,0,0,0.0,True,,1,True,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 48, 'seed': 42}",recurring,1,2,0,0.0,True,21.5,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 48, 'seed': 42}",recurring,2,2,0,0.0,True,14.5,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 48, 'seed': 42}",recurring,3,2,0,0.0,True,22.0,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 48, 'seed': 42}",recurring,4,2,0,0.0,True,17.5,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 48, 'seed': 42}",recurring,5,2,0,0.0,True,15.5,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 50, 'seed': 42}",none,1,0,0,0.0,True,,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 50, 'seed': 42}",none,2,0,0,0.0,True,,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 50, 'seed': 42}",none,3,0,0,0.0,True,,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 50, 'seed': 42}",none,4,0,0,0.0,True,,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 50, 'seed': 42}",none,5,0,0,0.0,True,,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 50, 'seed': 42}",sudden,1,1,0,0.0,True,29.0,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 50, 'seed': 42}",sudden,2,1,0,0.0,True,24.0,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 50, 'seed': 42}",sudden,3,1,0,0.0,True,24.0,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 50, 'seed': 42}",sudden,4,1,0,0.0,True,26.0,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 50, 'seed': 42}",sudden,5,1,0,0.0,True,23.0,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 50, 'seed': 42}",gradual,1,0,0,0.0,True,,1,True,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 50, 'seed': 42}",gradual,2,1,0,0.0,True,566.0,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 50, 'seed': 42}",gradual,3,1,0,0.0,True,566.0,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 50, 'seed': 42}",gradual,4,1,0,0.0,True,566.0,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 50, 'seed': 42}",gradual,5,0,0,0.0,True,,1,True,False
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 50, 'seed': 42}",recurring,1,2,0,0.0,True,22.0,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 50, 'seed': 42}",recurring,2,2,0,0.0,True,14.0,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 50, 'seed': 42}",recurring,3,2,0,0.0,True,22.0,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 50, 'seed': 42}",recurring,4,2,0,0.0,True,24.0,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 50, 'seed': 42}",recurring,5,2,0,0.0,True,16.0,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 55, 'seed': 42}",none,1,0,0,0.0,True,,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 55, 'seed': 42}",none,2,0,0,0.0,True,,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 55, 'seed': 42}",none,3,0,0,0.0,True,,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 55, 'seed': 42}",none,4,0,0,0.0,True,,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 55, 'seed': 42}",none,5,0,0,0.0,True,,0,True,True
kswin,kswin_budget_grid,"{'alpha': 0.0005, 'window_size': 300, 'stat_size': 55, 'seed': 42}",sudden,1,1,0,0.0,True,26.0,0,True,True
